Index,Fixed_Headroom_Percent,Curtailment_MW,Solved,Secure,Final_Min_Voltage,Final_Max_Voltage
337,20,42.940000000000005,True,True,0.9598427849656113,1.0500000000000003
373,20,33.02,True,True,0.9532972728107446,1.05
374,20,33.02,True,True,0.9526669281121354,1.0500000000000005
375,20,33.02,True,False,0.9466866197738816,1.0500000000000003
376,20,34.72,True,True,0.9532972728107446,1.05
377,20,34.72,True,True,0.9527250204955277,1.0500000000000003
378,20,34.72,True,False,0.9492506871758359,1.05
407,20,42.940000000000005,True,True,0.9582232394000751,1.0500000000000003
408,20,42.940000000000005,True,True,0.958969433198913,1.05
409,20,42.940000000000005,True,True,0.9512871676437891,1.05
